"season_order","position","ab","gp","pa","singles","doubles","triples","hr","tb","r","rbi","bb","ibb","so","hbp","sf","sh","gidp","sb","cs","ba","obp","slg","ops","k_percent","bb_percent","player_id"
218,TBR,1,115,,385,100,15,1,9,46,40,24,0,31,4,4,1,14,1,0,0,0,0,0,0,0,5
219,TEX,1,157,,655,102,42,5,19,105,72,60,0,90,10,5,1,14,21,9,0,0,0,0,0,0,5
220,CLE,1,152,,591,112,22,4,14,86,76,67,2,109,5,6,3,12,31,7,0,0,0,0,0,0,5
221,CHW,1,144,,533,111,22,0,26,66,75,56,4,83,7,2,0,16,0,0,0,0,0,0,0,0,5
222,CLE,1,142,,463,82,12,0,12,46,55,26,1,49,7,1,3,15,3,0,0,0,0,0,0,0,5
223,SDP,1,82,,143,27,8,0,2,9,14,11,1,14,1,1,0,2,0,2,0,0,0,0,0,0,5
224,MIL,1,58,,86,11,4,0,3,10,12,29,1,24,0,0,1,2,0,0,0,0,0,0,0,0,5
224,OAK,2,27,,85,9,2,1,6,10,19,8,0,24,0,0,0,2,0,0,0,0,0,0,0,0,5
225,PHI,1,50,,141,17,9,0,9,14,26,11,2,34,2,3,0,2,0,0,0,0,0,0,0,0,5
226,ARI,1,141,,506,64,30,4,30,75,90,57,7,151,2,6,0,11,1,1,0,0,0,0,0,0,5
227,CHC,1,130,,340,55,17,0,16,42,40,39,3,124,0,1,0,8,4,2,0,0,0,0,0,0,5
228,DET,1,63,,174,38,8,1,2,24,11,14,0,21,1,1,1,4,0,0,0,0,0,0,0,0,5
229,WSN,1,154,,571,86,35,1,33,76,100,67,7,138,0,9,0,10,1,1,0,0,0,0,0,0,5
230,BOS,1,46,,153,14,8,0,2,11,12,11,0,41,0,2,0,4,0,0,0,0,0,0,0,0,5
231,TOR,1,125,,494,95,26,3,11,73,48,33,0,86,5,2,2,9,13,8,0,0,0,0,0,0,5
232,HOU,1,66,,258,53,15,1,5,24,29,19,2,17,0,0,0,7,0,0,0,0,0,0,0,0,5
232,MIA,2,81,,292,55,12,0,4,29,48,39,2,32,1,6,0,6,3,0,0,0,0,0,0,0,5
233,COL,1,81,,229,50,12,4,2,26,22,13,4,42,0,2,3,8,1,2,0,0,0,0,0,0,5
234,SEA,1,38,,116,18,4,1,3,8,10,9,0,49,0,1,0,0,2,1,0,0,0,0,0,0,5
235,CHW,1,49,,63,10,1,0,0,10,2,4,0,26,1,1,1,0,7,2,0,0,0,0,0,0,5
235,BOS,2,10,,16,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
235,CLE,3,43,,111,16,5,0,3,15,8,7,0,40,3,2,0,2,6,0,0,0,0,0,0,0,5
236,TOR,1,93,,321,55,14,2,11,28,45,29,1,61,0,3,0,10,0,0,0,0,0,0,0,0,5
237,TBR,1,69,,167,25,10,0,2,16,20,24,1,46,2,2,2,6,0,1,0,0,0,0,0,0,5
238,WSN,1,126,,384,83,16,3,3,40,27,19,1,46,6,1,6,1,5,3,0,0,0,0,0,0,5
239,LAD,1,114,,334,63,18,0,4,32,33,23,7,39,0,1,1,16,0,3,0,0,0,0,0,0,5
239,BOS,2,30,,100,19,2,0,2,5,8,5,0,12,0,1,0,5,0,0,0,0,0,0,0,0,5
240,TBR,1,74,,273,48,14,0,17,39,55,33,6,61,3,3,0,14,2,3,0,0,0,0,0,0,5
241,CLE,1,66,,213,36,13,0,4,16,28,8,0,35,0,3,0,8,0,1,0,0,0,0,0,0,5
241,CHW,2,15,,23,4,1,0,0,2,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,5
242,HOU,1,97,,340,49,18,0,16,43,42,43,0,65,2,2,0,3,2,0,0,0,0,0,0,0,5
243,MIL,1,96,,316,68,17,4,12,46,58,22,1,44,4,3,1,12,4,1,0,0,0,0,0,0,5
244,CIN,1,125,,422,61,28,1,26,53,80,42,3,97,5,2,1,9,0,1,0,0,0,0,0,0,5
245,BAL,1,51,,191,32,8,3,7,24,26,9,0,38,0,1,1,6,2,0,0,0,0,0,0,0,5
246,MIL,1,78,,233,45,9,0,8,22,30,17,0,56,2,0,4,5,1,1,0,0,0,0,0,0,5
247,BAL,1,104,,420,81,28,3,13,59,54,42,3,51,4,5,0,11,1,1,0,0,0,0,0,0,5
248,CLE,1,70,,195,34,8,2,0,27,13,36,0,44,1,1,2,10,4,2,0,0,0,0,0,0,5
249,PIT,1,47,,167,29,3,6,5,18,17,8,0,50,3,2,2,5,12,5,0,0,0,0,0,0,5
250,NYY,1,133,,422,50,18,0,21,50,53,53,0,95,8,0,2,13,6,1,0,0,0,0,0,0,5
251,HOU,1,41,,118,14,7,1,6,12,14,6,0,34,5,1,0,1,0,1,0,0,0,0,0,0,5
252,HOU,1,113,,395,67,14,3,11,34,55,40,0,96,1,2,0,18,0,2,0,0,0,0,0,0,5
253,PHI,1,45,,115,15,3,0,2,10,7,5,2,21,0,0,2,4,0,0,0,0,0,0,0,0,5
254,MIN,1,77,,163,33,3,2,3,22,17,18,0,45,1,1,3,4,21,3,0,0,0,0,0,0,5
255,CHC,1,103,,225,31,11,0,5,18,19,14,1,46,1,2,1,4,5,2,0,0,0,0,0,0,5
256,TOR,1,71,,211,25,13,0,8,25,27,9,0,68,0,1,6,2,1,0,0,0,0,0,0,0,5
257,TBR,1,34,,95,11,1,0,2,7,7,8,1,22,0,0,0,5,0,0,0,0,0,0,0,0,5
258,MIN,1,147,,545,129,31,4,10,81,85,90,10,88,2,3,1,23,8,4,0,0,0,0,0,0,5
259,HOU,1,124,,315,38,13,3,18,46,53,32,0,114,3,2,0,6,9,4,0,0,0,0,0,0,5
260,PHI,1,149,,441,70,24,0,14,53,46,34,2,111,2,2,0,17,1,0,0,0,0,0,0,0,5
261,SDP,1,147,,507,90,20,5,8,67,45,44,1,110,4,3,3,12,26,7,0,0,0,0,0,0,5
262,ATL,1,121,,439,67,14,0,20,44,67,44,7,76,1,3,0,15,3,0,0,0,0,0,0,0,5
263,PIT,1,157,,593,128,29,6,31,107,96,70,13,132,5,5,0,9,20,12,0,0,0,0,0,0,5
264,BOS,1,38,,84,9,7,0,2,17,9,12,0,17,0,1,2,1,1,1,0,0,0,0,0,0,5
264,NYY,2,4,,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
265,ARI,1,70,,197,34,9,0,6,16,22,12,5,33,1,0,2,3,0,1,0,0,0,0,0,0,5
266,PIT,1,92,,265,39,13,1,8,27,35,24,0,60,2,2,0,7,1,1,0,0,0,0,0,0,5
266,NYY,2,22,,53,4,3,0,1,9,6,5,0,10,0,1,0,3,0,0,0,0,0,0,0,0,5
267,PIT,1,88,,240,30,14,0,12,25,39,29,1,73,3,3,0,7,0,0,0,0,0,0,0,0,5
268,PIT,1,34,,57,6,2,0,0,4,2,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5
268,BAL,2,55,,209,36,12,1,7,35,18,22,1,43,2,1,2,2,12,1,0,0,0,0,0,0,5
269,CIN,1,54,,165,22,8,0,5,17,14,17,4,33,1,1,0,2,1,1,0,0,0,0,0,0,5
270,BOS,1,75,,267,48,14,0,15,34,54,13,0,70,3,3,0,8,4,1,0,0,0,0,0,0,5
271,TBR,1,102,,251,39,9,0,8,27,32,20,0,60,2,0,1,9,3,1,0,0,0,0,0,0,5
272,STL,1,138,,505,109,28,0,22,65,76,45,4,55,5,5,3,10,12,3,0,0,0,0,0,0,5
273,SEA,1,135,,515,99,20,0,15,46,62,29,4,99,2,7,0,15,0,2,0,0,0,0,0,0,5
274,ARI,1,141,,486,97,25,2,15,65,88,73,6,130,12,2,0,15,0,0,0,0,0,0,0,0,5
275,HOU,1,72,,201,32,11,0,9,23,26,16,2,56,7,3,1,3,0,1,0,0,0,0,0,0,5
276,WSN,1,75,,156,22,9,0,10,20,29,14,0,46,1,0,0,3,3,0,0,0,0,0,0,0,5
277,LAA,1,134,,484,83,26,1,22,61,73,31,1,116,4,3,0,11,0,1,0,0,0,0,0,0,5
278,CHW,1,35,,113,18,2,0,0,14,5,7,0,39,0,0,5,3,4,1,0,0,0,0,0,0,5
279,TEX,1,114,,327,57,18,0,15,41,50,23,5,71,1,4,2,8,1,1,0,0,0,0,0,0,5
280,MIL,1,122,,289,58,5,3,3,44,16,20,0,63,6,0,7,4,12,5,0,0,0,0,0,0,5
281,MIN,1,134,,505,88,26,2,19,63,77,49,8,102,6,10,0,19,1,0,0,0,0,0,0,0,5
282,MIA,1,93,,296,41,15,1,11,30,36,31,2,58,4,3,0,9,1,0,0,0,0,0,0,0,5
283,WSN,1,102,,406,82,17,1,18,53,62,16,0,97,4,4,0,14,0,1,0,0,0,0,0,0,5
284,OAK,1,84,,265,38,18,0,21,48,52,26,2,90,3,2,0,5,1,1,0,0,0,0,0,0,5
285,KCR,1,149,,563,81,34,1,20,69,73,39,4,124,7,5,0,4,5,2,0,0,0,0,0,0,5
286,NYM,1,156,,571,117,40,3,6,62,65,36,5,82,1,4,0,12,10,2,0,0,0,0,0,0,5
287,TEX,1,147,,457,92,29,3,15,65,61,54,7,74,4,4,0,7,10,5,0,0,0,0,0,0,5
288,MIA,1,52,,116,14,6,2,3,13,12,9,1,35,2,1,1,4,1,1,0,0,0,0,0,0,5
289,WSN,1,40,,102,10,3,0,3,6,6,7,2,24,0,0,0,3,1,0,0,0,0,0,0,0,5
289,SFG,2,19,,50,7,3,1,1,6,7,6,0,13,1,0,0,5,0,0,0,0,0,0,0,0,5
290,TEX,1,108,,352,45,9,2,24,53,56,56,5,125,7,2,0,9,1,0,0,0,0,0,0,0,5
291,BOS,1,88,,267,38,21,0,6,38,33,37,1,63,9,2,2,5,3,0,0,0,0,0,0,0,5
292,COL,1,111,,345,71,21,3,9,45,53,27,4,84,1,2,2,9,2,1,0,0,0,0,0,0,5
293,NYM,1,47,,109,15,3,0,1,8,13,8,0,27,2,1,2,1,0,0,0,0,0,0,0,0,5
294,NYM,1,91,,282,51,12,1,7,40,28,25,0,98,2,2,3,2,4,4,0,0,0,0,0,0,5
295,NYY,1,74,,177,26,13,0,4,24,18,14,0,53,2,0,9,4,6,3,0,0,0,0,0,0,5
296,PHI,1,70,,114,15,10,0,3,13,16,12,0,42,0,1,0,1,0,0,0,0,0,0,0,0,5
297,OAK,1,60,,209,26,8,1,7,19,34,21,1,66,1,1,0,6,5,1,0,0,0,0,0,0,5
298,NYY,1,38,,89,20,4,1,1,14,11,6,0,12,1,4,0,1,11,2,0,0,0,0,0,0,5
299,SEA,1,87,,315,44,14,0,12,27,29,7,0,85,0,0,1,8,3,6,0,0,0,0,0,0,5
300,BOS,1,90,,324,54,26,0,23,65,60,56,13,51,0,3,0,6,0,1,0,0,0,0,0,0,5
301,ARI,1,45,,96,17,9,0,2,11,10,12,2,26,0,1,0,3,0,0,0,0,0,0,0,0,5
301,ATL,2,20,,20,1,1,0,0,1,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,5
302,COL,1,132,,475,107,32,3,5,51,54,22,2,61,3,4,1,13,7,2,0,0,0,0,0,0,5
303,SFG,1,154,,605,113,38,15,8,95,56,48,5,97,0,4,2,6,29,7,0,0,0,0,0,0,5
304,MIN,1,64,,192,27,10,2,5,18,20,13,1,52,4,1,0,4,0,0,0,0,0,0,0,0,5
305,ARI,1,133,,385,75,21,2,7,58,36,33,4,77,4,2,6,4,15,9,0,0,0,0,0,0,5
306,SDP,1,55,,116,18,5,0,1,9,6,17,7,35,2,1,2,2,1,0,0,0,0,0,0,0,5
307,ATL,1,76,,169,32,6,1,2,21,13,10,1,32,1,1,7,5,2,0,0,0,0,0,0,0,5
308,BAL,1,28,,71,11,4,0,3,8,14,8,0,17,0,2,2,1,0,1,0,0,0,0,0,0,5
308,HOU,2,21,,63,11,4,1,0,2,8,7,1,16,3,2,0,3,1,1,0,0,0,0,0,0,5
308,NYY,3,12,,25,3,0,0,1,6,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5
309,BOS,1,141,,563,106,39,3,15,81,65,48,3,60,5,6,1,9,20,6,0,0,0,0,0,0,5
310,KCR,1,68,,212,37,10,1,2,16,25,9,0,24,0,4,1,7,0,1,0,0,0,0,0,0,5
311,TBR,1,160,,497,60,17,2,19,72,61,87,2,182,13,3,0,10,2,3,0,0,0,0,0,0,5
312,PHI,1,101,,398,74,15,2,17,59,59,37,1,85,3,2,0,13,4,2,0,0,0,0,0,0,5
312,SFG,2,59,,219,28,11,2,7,28,45,19,1,60,4,5,1,1,1,0,0,0,0,0,0,0,5
313,OAK,1,125,,418,64,18,2,6,50,28,35,0,90,2,2,5,1,15,6,0,0,0,0,0,0,5
314,DET,1,150,,531,79,32,3,13,58,63,49,3,105,2,2,1,20,1,2,0,0,0,0,0,0,5
315,KCR,1,76,,289,60,16,0,11,38,39,12,3,27,1,3,0,14,0,0,0,0,0,0,0,0,5
316,MIA,1,84,,241,35,9,3,0,29,17,25,0,58,1,1,5,3,8,2,0,0,0,0,0,0,5
317,CIN,1,147,,580,114,30,1,18,86,77,28,2,79,8,4,3,19,15,2,0,0,0,0,0,0,5
318,PHI,1,130,,394,104,10,6,1,59,25,23,0,27,4,1,17,4,37,7,0,0,0,0,0,0,5
319,CHW,1,135,,479,84,18,4,27,68,77,28,5,78,8,4,1,8,0,0,0,0,0,0,0,0,5
320,SFG,1,48,,105,15,3,0,4,10,11,6,1,19,2,0,1,5,1,0,0,0,0,0,0,0,5
321,MIN,1,119,,422,55,19,1,24,56,55,37,0,92,4,2,0,9,1,3,0,0,0,0,0,0,5
322,BOS,1,63,,199,52,7,0,1,19,12,6,0,35,1,2,8,3,8,2,0,0,0,0,0,0,5
323,PHI,1,90,,303,61,15,0,2,28,19,18,1,25,2,1,4,7,0,0,0,0,0,0,0,0,5
324,SFG,1,148,,530,114,39,1,24,78,103,69,7,96,2,9,0,19,1,1,0,0,0,0,0,0,5
325,ATL,1,156,,617,128,42,6,10,81,70,58,2,69,2,9,4,19,17,4,0,0,0,0,0,0,5
326,PIT,1,104,,346,51,14,7,10,46,25,18,0,72,2,0,4,5,9,7,0,0,0,0,0,0,5
327,LAA,1,154,,607,93,50,0,30,85,105,52,16,76,5,6,0,19,8,1,0,0,0,0,0,0,5
328,BOS,1,65,,125,18,6,0,1,14,10,19,0,33,0,2,2,5,5,0,0,0,0,0,0,0,5
328,LAD,2,22,,35,9,1,0,0,6,0,6,0,9,0,0,2,0,1,0,0,0,0,0,0,0,5
329,SDP,1,86,,284,37,21,0,16,44,46,36,2,41,17,3,0,6,0,1,0,0,0,0,0,0,5
330,NYM,1,29,,70,12,5,0,1,13,4,8,1,17,2,0,0,2,0,0,0,0,0,0,0,0,5
330,BAL,2,36,,99,17,3,0,3,12,12,8,0,25,0,2,1,1,0,1,0,0,0,0,0,0,5
331,KCR,1,43,,138,19,12,0,1,7,19,4,0,28,1,1,0,1,0,1,0,0,0,0,0,0,5
332,DET,1,66,,205,20,14,0,1,14,12,13,0,53,2,1,1,7,1,1,0,0,0,0,0,0,5
333,CHW,1,158,,593,120,24,4,9,59,73,16,2,77,4,4,4,15,20,7,0,0,0,0,0,0,5
334,MIL,1,149,,570,91,50,3,27,92,105,44,3,82,12,4,0,14,9,2,0,0,0,0,0,0,5
335,MIA,1,93,,353,53,18,2,14,49,48,37,1,72,3,2,0,11,14,4,0,0,0,0,0,0,5
335,LAD,2,64,,251,45,11,2,10,30,44,17,3,60,3,1,0,6,7,3,0,0,0,0,0,0,5
336,ARI,1,26,,78,9,7,0,5,11,16,7,0,30,3,0,0,1,0,0,0,0,0,0,0,0,5
336,MIL,2,64,,168,20,7,0,6,18,26,23,0,79,0,0,3,5,0,1,0,0,0,0,0,0,5
337,TOR,1,151,,565,77,21,5,23,75,75,47,5,149,7,4,2,7,4,3,0,0,0,0,0,0,5
338,OAK,1,156,,611,82,29,5,32,85,85,55,8,151,2,4,1,15,11,1,0,0,0,0,0,0,5
339,MIN,1,124,,511,131,13,6,0,70,32,29,0,54,3,4,6,8,40,9,0,0,0,0,0,0,5
340,MIA,1,160,,642,124,37,12,11,86,57,63,9,56,0,6,5,10,40,11,0,0,0,0,0,0,5
341,BAL,1,135,,457,52,26,0,23,65,69,73,2,159,6,2,0,19,1,3,0,0,0,0,0,0,5
342,TBR,1,47,,123,24,2,1,1,11,8,10,0,17,3,1,0,1,1,2,0,0,0,0,0,0,5
343,CHW,1,157,,605,114,37,8,25,93,91,26,3,92,4,5,0,18,23,6,0,0,0,0,0,0,5
344,LAD,1,109,,312,53,14,0,9,30,47,18,1,35,3,6,0,15,1,3,0,0,0,0,0,0,5
345,CHC,1,87,,337,66,15,0,15,44,48,27,1,62,3,1,0,7,3,2,0,0,0,0,0,0,5
346,ARI,1,83,,252,48,9,0,6,28,34,22,1,45,0,4,2,10,6,3,0,0,0,0,0,0,5
346,TBR,2,60,,187,24,10,0,6,23,18,18,0,47,1,2,1,3,4,3,0,0,0,0,0,0,5
347,STL,1,102,,166,31,8,0,3,20,16,14,2,32,0,1,0,5,1,0,0,0,0,0,0,0,5
348,SEA,1,46,,145,24,4,1,3,16,12,14,1,43,1,0,4,2,6,3,0,0,0,0,0,0,5
349,NYY,1,122,,463,90,17,1,18,74,57,51,3,116,10,5,0,13,13,1,0,0,0,0,0,0,5
350,TBR,1,112,,301,43,14,1,6,36,32,27,1,75,3,3,8,7,5,0,0,0,0,0,0,0,5
351,CIN,1,92,,294,45,17,2,8,26,39,30,0,62,3,3,0,5,2,1,0,0,0,0,0,0,5
352,PHI,1,156,,632,97,33,5,23,102,68,62,2,96,0,3,2,9,30,5,0,0,0,0,0,0,5
353,OAK,1,42,,99,15,5,0,2,12,8,11,1,24,0,1,0,4,0,0,0,0,0,0,0,0,5
354,COL,1,117,,396,60,19,0,28,67,71,25,2,99,1,4,0,10,4,5,0,0,0,0,0,0,5
355,BOS,1,130,,476,70,34,1,22,70,81,42,3,129,3,6,1,11,2,3,0,0,0,0,0,0,5
356,ATL,1,62,,176,29,7,0,9,18,23,18,0,60,0,2,0,5,1,0,0,0,0,0,0,0,5
357,MIA,1,91,,288,53,23,1,13,38,36,29,0,84,0,1,1,6,14,8,0,0,0,0,0,0,5
358,PHI,1,114,,372,73,32,0,16,56,68,29,6,50,16,4,0,6,4,0,0,0,0,0,0,0,5
359,COL,1,73,,277,43,20,5,8,37,37,9,0,54,4,1,0,8,7,0,0,0,0,0,0,0,5
360,SEA,1,141,,407,54,19,3,3,42,31,44,0,98,5,6,8,4,11,5,0,0,0,0,0,0,5
361,BOS,1,121,,405,47,17,1,25,55,59,38,0,139,1,4,0,5,0,1,0,0,0,0,0,0,5
362,MIA,1,55,,183,24,10,0,3,12,17,12,1,36,0,1,0,7,1,0,0,0,0,0,0,0,5
362,PIT,2,50,,116,18,6,0,4,18,13,13,1,20,1,0,0,6,0,0,0,0,0,0,0,0,5
363,SFG,1,74,,218,43,15,0,3,22,34,5,0,52,1,3,0,8,0,0,0,0,0,0,0,0,5
364,SFG,1,108,,396,73,25,2,12,59,63,38,4,59,1,7,0,13,1,1,0,0,0,0,0,0,5
365,CLE,1,143,,507,81,27,2,18,72,76,91,4,101,3,8,0,21,3,5,0,0,0,0,0,0,5
366,DET,1,93,,228,37,7,1,2,19,17,20,1,39,5,1,5,7,1,0,0,0,0,0,0,0,5
367,SEA,1,139,,507,72,31,3,19,71,57,43,0,132,1,1,1,6,21,4,0,0,0,0,0,0,5
368,HOU,1,106,,313,50,10,2,4,40,23,36,3,106,3,1,6,3,27,9,0,0,0,0,0,0,5
369,SFG,1,77,,175,30,4,5,5,15,16,18,2,36,1,2,0,1,3,2,0,0,0,0,0,0,5
369,PHI,2,37,,66,13,4,0,1,5,5,5,0,10,0,1,1,0,0,0,0,0,0,0,0,0,5
370,STL,1,107,,272,56,14,4,1,37,28,27,2,50,0,2,3,6,1,1,0,0,0,0,0,0,5
371,TBR,1,96,,314,35,22,1,14,35,55,21,3,80,5,4,0,9,5,0,0,0,0,0,0,0,5
372,COL,1,95,,377,79,16,3,4,47,30,27,0,35,4,3,4,5,7,3,0,0,0,0,0,0,5
372,SFG,2,61,,243,68,16,1,3,40,44,13,0,14,0,6,6,7,2,1,0,0,0,0,0,0,5
373,SEA,1,155,,594,98,35,1,20,62,86,46,1,110,5,4,2,9,13,5,0,0,0,0,0,0,5
374,LAA,1,1,,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
374,MIL,2,44,,148,32,4,3,0,19,14,13,3,21,0,1,1,1,7,1,0,0,0,0,0,0,5
375,BOS,1,48,,140,16,12,2,5,16,17,11,1,62,5,0,2,2,1,0,0,0,0,0,0,0,5
375,NYM,2,28,,79,11,2,0,3,7,10,5,2,27,3,0,0,0,0,0,0,0,0,0,0,0,5
376,TOR,1,49,,147,23,4,0,6,14,15,8,0,44,2,0,0,3,1,0,0,0,0,0,0,0,5
377,ATL,1,49,,166,35,8,2,3,17,19,12,1,21,1,3,0,5,1,0,0,0,0,0,0,0,5
378,OAK,1,125,,383,53,23,2,14,55,52,50,7,98,5,3,0,4,2,2,0,0,0,0,0,0,5
379,SEA,1,132,,483,72,14,0,19,49,51,49,2,111,1,2,0,12,1,0,0,0,0,0,0,0,5
380,TOR,1,10,,36,4,2,0,3,6,8,3,0,14,0,1,0,0,0,0,0,0,0,0,0,0,5
380,PIT,2,50,,128,25,5,1,1,17,9,14,0,34,1,2,0,2,2,0,0,0,0,0,0,0,5
381,HOU,1,76,,221,24,8,0,7,23,24,33,4,70,4,0,0,5,0,0,0,0,0,0,0,0,5
382,OAK,1,37,,102,11,3,1,2,8,7,5,0,17,0,0,1,1,2,0,0,0,0,0,0,0,5
383,MIA,1,93,,285,68,11,3,2,29,28,21,1,58,2,5,3,5,7,0,0,0,0,0,0,0,5
384,CHC,1,151,,561,80,33,2,32,68,108,44,5,153,7,3,0,18,6,2,0,0,0,0,0,0,5
385,CHC,1,52,,176,22,6,1,6,26,14,19,1,35,2,0,0,6,0,0,0,0,0,0,0,0,5
385,TEX,2,47,,148,18,6,0,5,19,25,11,0,41,1,2,2,6,1,0,0,0,0,0,0,0,5
386,MIN,1,128,,516,100,38,4,4,71,41,47,0,62,0,1,4,10,17,6,0,0,0,0,0,0,5
387,MIA,1,123,,449,62,30,1,37,75,86,46,9,143,5,1,0,5,6,2,0,0,0,0,0,0,5
388,NYY,1,55,,141,25,8,0,1,15,13,10,0,21,1,2,3,1,2,0,0,0,0,0,0,0,5
389,CHC,1,55,,179,24,5,2,5,16,17,21,4,46,2,0,0,5,0,3,0,0,0,0,0,0,5
390,CIN,1,136,,493,76,13,2,14,75,40,42,0,166,2,1,6,2,30,7,0,0,0,0,0,0,5
391,TBR,1,18,,48,9,4,0,0,2,6,2,0,16,1,0,0,0,0,0,0,0,0,0,0,0,5
391,PIT,2,24,,74,8,8,1,1,10,7,4,0,26,0,1,0,1,0,1,0,0,0,0,0,0,5
392,SEA,1,95,,402,81,15,5,4,49,28,17,4,40,0,4,0,10,15,2,0,0,0,0,0,0,5
392,NYY,2,67,,227,54,13,1,5,28,27,5,1,21,2,1,5,2,14,5,0,0,0,0,0,0,5
393,OAK,1,75,,262,41,15,0,1,19,18,9,0,53,3,2,2,3,1,0,0,0,0,0,0,0,5
393,WSN,2,43,,146,29,5,0,5,17,25,11,3,20,2,3,2,2,1,0,0,0,0,0,0,0,5
394,BOS,1,63,,204,32,19,2,0,22,16,12,0,43,1,1,1,1,0,0,0,0,0,0,0,0,5
395,NYY,1,148,,537,86,36,0,24,75,93,77,2,141,4,5,1,9,2,3,0,0,0,0,0,0,5
396,PIT,1,103,,333,55,20,3,3,43,16,29,0,58,6,0,6,7,8,12,0,0,0,0,0,0,5
397,NYY,1,123,,451,61,27,1,24,66,84,54,1,83,7,12,0,11,2,1,0,0,0,0,0,0,5
398,NYM,1,114,,464,107,26,0,1,53,25,27,0,73,5,2,3,9,4,4,0,0,0,0,0,0,5
399,TOR,1,46,,148,25,7,1,3,17,11,9,0,40,1,2,0,7,0,1,0,0,0,0,0,0,5
399,SEA,2,40,,123,14,5,2,6,10,14,6,0,47,0,0,1,0,1,0,0,0,0,0,0,0,5
400,SFG,1,104,,352,78,16,1,0,45,28,24,1,47,1,3,4,12,13,5,0,0,0,0,0,0,5
401,NYM,1,104,,321,59,15,0,1,24,21,27,6,50,1,1,4,12,0,0,0,0,0,0,0,0,5
402,PHI,1,30,,62,8,2,0,5,9,15,8,1,21,1,0,0,2,0,0,0,0,0,0,0,0,5
402,BAL,2,28,,101,18,5,0,3,8,10,14,2,40,0,0,0,4,0,0,0,0,0,0,0,0,5
403,TEX,1,49,,161,27,8,0,3,16,12,14,0,31,2,2,3,2,1,1,0,0,0,0,0,0,5
403,TOR,2,10,,28,5,0,0,1,3,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5
403,MIL,3,5,,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
404,NYM,1,132,,374,59,17,7,3,47,35,52,2,90,3,2,1,9,13,5,0,0,0,0,0,0,5
405,WSN,1,73,,93,15,7,0,3,7,14,10,3,15,1,1,0,1,0,0,0,0,0,0,0,0,5
406,LAD,1,36,,103,12,3,1,2,11,10,14,2,29,2,2,1,2,1,1,0,0,0,0,0,0,5
407,LAA,1,139,,559,117,27,8,30,129,83,67,4,139,6,7,0,7,49,5,0,0,0,0,0,0,5
408,LAA,1,144,,544,92,19,3,32,66,95,36,3,153,4,2,0,12,4,5,0,0,0,0,0,0,5
409,COL,1,47,,181,34,8,2,8,33,27,19,1,19,2,1,0,7,2,2,0,0,0,0,0,0,5
410,NYM,1,94,,171,30,13,1,2,20,19,9,0,24,4,1,0,9,1,1,0,0,0,0,0,0,5
411,ATL,1,154,,523,67,29,0,19,86,78,94,5,168,10,3,0,8,4,3,0,0,0,0,0,0,5
412,TBR,1,146,,573,81,29,3,28,79,78,45,0,169,1,8,4,13,31,6,0,0,0,0,0,0,5
413,ARI,1,150,,554,110,24,4,17,107,67,63,5,121,5,6,0,7,18,8,0,0,0,0,0,0,5
414,LAD,1,66,,162,20,9,0,2,15,17,13,0,37,2,1,1,6,0,1,0,0,0,0,0,0,5
415,PHI,1,83,,301,49,15,2,11,48,45,43,7,43,12,6,0,4,11,1,0,0,0,0,0,0,5
416,CHC,1,90,,265,34,20,0,4,26,28,36,1,55,0,2,0,6,0,2,0,0,0,0,0,0,5
417,NYM,1,94,,191,28,9,1,8,28,26,10,0,44,2,0,3,2,10,3,0,0,0,0,0,0,5
418,CIN,1,77,,194,36,4,0,0,15,15,8,0,36,0,1,5,4,3,1,0,0,0,0,0,0,5
419,MIN,1,34,,126,16,6,1,2,13,17,3,0,32,0,3,0,5,0,1,0,0,0,0,0,0,5
419,BOS,2,10,,28,3,0,0,1,1,4,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,5
420,SDP,1,148,,417,67,26,8,9,62,45,41,2,94,5,2,5,2,24,6,0,0,0,0,0,0,5
421,CHW,1,147,,505,85,18,1,25,64,78,28,0,120,6,4,0,18,0,2,0,0,0,0,0,0,5
422,PHI,1,101,,387,70,17,5,9,46,40,35,1,49,2,2,5,4,24,4,0,0,0,0,0,0,5
422,LAD,2,53,,208,35,12,2,2,26,15,18,0,31,4,1,4,1,15,2,0,0,0,0,0,0,5
423,CHC,1,36,,99,8,2,0,2,7,5,7,0,33,2,1,0,6,2,0,0,0,0,0,0,0,5
424,TOR,1,60,,153,30,5,1,0,13,7,7,0,17,0,2,1,5,3,2,0,0,0,0,0,0,5
425,CIN,1,111,,374,68,44,0,14,59,56,94,18,85,5,2,0,8,5,3,0,0,0,0,0,0,5
426,PIT,1,129,,472,91,27,0,14,62,69,47,1,104,2,8,1,11,7,5,0,0,0,0,0,0,5
