"season_order","gp","gs","w","l","sv","bs","hld","outs","tbf","h","r","er","hr","k","bb","ibb","hbp","cg","sho","wp","bk","era","whip","k_percent","bb_percent","babip","player_id"
650,NYM,1,48,0,1,3,23,42.1,127,197,47,27,26,5,47,21,1,0,0,0,2,1,0,0,0,0,5
651,TOR,1,50,0,1,1,0,43.2,131,191,42,20,20,6,53,22,1,2,0,0,5,1,0,0,0,0,5
652,STL,1,24,0,0,2,0,20,60,86,17,13,12,2,18,10,0,1,0,0,0,0,0,0,0,0,5
653,COL,1,16,16,5,8,0,84.2,254,377,102,61,58,14,74,30,0,2,0,0,8,0,0,0,0,0,5
654,SDP,1,11,0,1,0,0,11.2,35,50,9,5,3,2,18,4,0,2,0,0,0,0,0,0,0,0,5
654,LAA,2,56,0,4,2,23,54.1,163,219,26,15,14,7,80,26,0,5,0,0,1,0,0,0,0,0,5
655,OAK,1,26,0,2,2,5,25,75,116,30,19,19,5,18,10,0,1,0,0,2,0,0,0,0,0,5
655,STL,2,6,0,0,0,0,5,15,26,6,5,5,1,6,5,0,0,0,0,0,0,0,0,0,0,5
656,SEA,1,48,0,5,2,0,46.1,139,182,28,15,14,3,53,16,4,2,0,0,5,0,0,0,0,0,5
657,HOU,1,5,5,0,4,0,24,72,120,28,20,18,6,17,18,1,2,0,0,1,1,0,0,0,0,5
658,MIL,1,33,33,16,9,0,204,612,860,185,86,83,26,204,81,3,0,0,0,5,0,0,0,0,0,5
659,WSN,1,13,0,0,0,0,12.2,38,48,8,3,3,2,15,2,0,2,0,0,1,0,0,0,0,0,5
660,NYY,1,30,17,7,6,0,107.1,322,461,112,64,62,18,89,35,2,3,0,0,10,1,0,0,0,0,5
661,STL,1,20,20,7,7,0,121.2,365,515,136,58,53,7,98,30,1,0,0,0,12,1,0,0,0,0,5
662,CHC,1,18,18,5,7,0,103.2,311,424,90,48,45,15,96,32,0,4,0,0,1,0,0,0,0,0,5
663,MIA,1,46,0,4,2,0,69.1,208,302,72,39,35,6,57,26,5,3,0,0,3,1,0,0,0,0,5
664,ATL,1,22,0,0,1,0,20,60,80,17,4,4,1,20,5,0,2,0,0,2,0,0,0,0,0,5
665,NYM,1,17,17,6,7,0,109.2,329,463,108,56,50,12,97,29,0,6,0,0,0,1,0,0,0,0,5
666,LAA,1,2,0,0,0,0,2,6,11,2,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,5
667,TEX,1,1,0,0,0,0,1,3,7,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5
668,BOS,1,1,0,0,0,0,5.2,17,24,5,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,5
668,CHC,2,13,12,2,10,0,64,192,296,81,52,48,7,45,19,2,7,0,0,4,0,0,0,0,0,5
669,OAK,1,5,4,0,4,0,21,63,98,26,18,15,4,10,10,0,3,0,0,0,0,0,0,0,0,5
670,TBR,1,15,0,2,2,0,17.2,53,83,16,12,10,2,15,12,3,2,0,0,1,0,0,0,0,0,5
671,CLE,1,20,17,5,8,0,90.2,272,395,95,66,60,15,47,34,5,4,0,0,2,0,0,0,0,0,5
672,HOU,1,6,6,3,1,0,25,75,105,23,14,14,3,18,8,0,0,0,0,1,0,0,0,0,0,5
673,WSN,1,32,32,21,8,0,199.1,598,822,149,69,64,9,207,76,3,5,2,1,10,1,0,0,0,0,5
674,BAL,1,18,15,9,4,0,105.1,316,434,92,38,38,13,77,35,2,5,0,0,3,2,0,0,0,0,5
675,WSN,1,47,0,0,0,0,35.2,107,151,31,14,12,2,39,16,0,0,0,0,2,1,0,0,0,0,5
676,WSN,1,45,1,4,2,1,72,216,306,65,27,23,7,62,30,1,2,0,0,4,0,0,0,0,0,5
677,MIN,1,49,0,6,1,0,52,156,236,58,34,33,9,26,22,0,4,0,0,5,1,0,0,0,0,5
678,SDP,1,77,0,2,0,9,71.2,215,294,57,19,19,7,72,21,3,3,0,0,3,0,0,0,0,0,5
679,BAL,1,40,0,3,2,0,43.2,131,200,50,26,24,6,37,24,2,3,0,0,0,0,0,0,0,0,5
680,MIL,1,21,21,9,3,0,123,369,504,120,49,47,7,122,28,0,0,0,0,4,0,0,0,0,0,5
680,LAA,2,13,13,6,2,0,89.1,268,364,80,35,35,11,78,26,0,2,0,0,4,0,0,0,0,0,5
681,OAK,1,15,15,7,1,0,82.1,247,336,74,29,28,10,64,19,0,1,0,0,0,0,0,0,0,0,5
682,PIT,1,64,0,1,6,2,58.2,176,244,45,20,19,7,90,22,4,2,0,0,0,0,0,0,0,0,5
683,TEX,1,5,2,1,1,0,14,42,65,22,14,14,1,13,3,0,0,0,0,3,0,0,0,0,0,5
684,LAD,1,45,0,2,3,8,45,135,196,44,13,13,1,37,23,5,1,0,0,1,0,0,0,0,0,5
685,LAD,1,16,0,0,2,0,14,42,56,8,6,6,3,9,7,1,1,0,0,0,0,0,0,0,0,5
686,COL,1,19,15,3,9,0,90.2,272,422,122,72,64,21,45,31,2,7,0,0,1,1,0,0,0,0,5
686,KCR,2,14,14,5,3,0,91,273,366,84,37,32,9,56,19,0,2,0,0,1,1,0,0,0,0,5
687,SFG,1,4,1,0,1,0,9.2,29,45,14,6,6,2,8,2,1,1,0,0,0,0,0,0,0,0,5
688,CLE,1,27,0,1,0,1,25.1,76,116,26,18,18,4,26,15,0,0,0,0,2,0,0,0,0,0,5
689,PHI,1,25,25,11,8,0,156.1,469,646,155,78,78,18,132,36,0,5,0,0,2,0,0,0,0,0,5
690,PHI,1,31,31,17,6,0,215.1,646,867,190,80,73,24,216,52,3,3,2,2,3,2,0,0,0,0,5
691,BAL,1,20,20,8,6,0,118,354,493,104,48,45,9,113,42,2,2,1,1,3,0,0,0,0,0,5
692,NYM,1,13,0,0,0,0,10,30,37,6,4,2,0,4,5,0,0,0,0,0,0,0,0,0,0,5
693,MIA,1,1,1,0,1,0,3.2,11,23,6,7,7,1,3,6,1,0,0,0,0,0,0,0,0,0,5
694,PIT,1,63,0,5,2,36,59.2,179,254,40,18,18,8,67,36,0,1,0,0,6,0,0,0,0,0,5
695,ATL,1,31,31,13,10,0,174.2,524,761,183,95,87,27,161,71,5,5,0,0,6,0,0,0,0,0,5
696,HOU,1,18,18,7,9,0,104.1,313,457,112,58,56,17,98,39,0,1,0,0,5,0,0,0,0,0,5
696,TOR,2,10,6,3,2,0,40.1,121,170,35,21,21,2,46,17,1,1,0,0,2,0,0,0,0,0,5
697,LAD,1,31,31,10,10,0,179.2,539,786,167,85,72,14,131,85,10,4,0,0,4,0,0,0,0,0,5
698,LAA,1,30,30,12,13,0,176.2,530,747,190,95,85,28,142,38,3,3,1,1,5,1,0,0,0,0,5
699,HOU,1,32,32,11,11,0,193.2,581,827,185,90,81,13,140,78,5,1,1,1,10,3,0,0,0,0,5
700,COL,1,20,0,1,1,0,17.2,53,89,27,18,16,3,19,6,1,1,0,0,4,0,0,0,0,0,5
701,TEX,1,32,32,18,11,0,213.1,640,876,210,82,78,22,133,59,0,1,4,2,2,0,0,0,0,0,5
702,NYM,1,10,10,3,5,0,59.1,178,245,42,19,18,5,70,26,0,3,0,0,3,0,0,0,0,0,5
703,MIA,1,11,0,0,0,0,14.2,44,66,17,9,7,3,10,6,0,1,0,0,1,0,0,0,0,0,5
704,LAA,1,48,0,2,3,1,42,126,178,45,20,17,5,23,13,1,0,0,0,0,0,0,0,0,0,5
705,CHW,1,3,0,0,0,0,2,6,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5
706,NYM,1,26,13,4,7,0,93.2,281,408,110,55,53,9,62,18,1,2,0,0,7,0,0,0,0,0,5
707,TBR,1,31,31,10,11,0,177,531,741,163,68,61,25,124,59,3,4,0,0,5,0,0,0,0,0,5
708,MIL,1,36,0,1,3,3,30.2,92,131,26,12,12,1,45,13,0,1,0,0,1,0,0,0,0,0,5
709,MIN,1,16,16,1,8,0,85.1,256,381,106,61,53,17,50,26,3,4,1,0,4,0,0,0,0,0,5
710,SFG,1,60,0,4,5,3,50.2,152,234,50,30,26,5,42,30,2,3,0,0,1,0,0,0,0,0,5
711,ARI,1,72,0,2,3,4,68.1,205,278,48,21,19,4,98,22,1,3,0,0,4,1,0,0,0,0,5
712,SEA,1,33,33,13,9,0,232,696,939,209,84,79,14,223,56,0,12,5,5,13,2,0,0,0,0,5
713,ATL,1,18,0,1,1,1,31,93,136,40,17,17,5,19,8,4,0,0,0,0,0,0,0,0,0,5
713,MIL,2,26,0,3,0,0,36.1,109,156,44,31,31,10,29,8,0,1,0,0,2,0,0,0,0,0,5
714,CHW,1,1,1,0,1,0,4,12,25,12,8,8,3,2,1,0,0,0,0,0,0,0,0,0,0,5
715,CLE,1,3,3,0,3,0,14.1,43,62,17,15,12,4,2,3,0,1,0,0,1,0,0,0,0,0,5
716,PHI,1,5,0,0,1,0,7.2,23,33,10,4,4,1,8,1,0,0,0,0,0,0,0,0,0,0,5
717,KCR,1,76,0,4,3,3,84.1,253,344,79,24,22,4,77,21,6,2,0,0,3,1,0,0,0,0,5
718,CLE,1,15,0,0,0,0,19.1,58,71,12,5,5,1,14,4,0,0,0,0,0,0,0,0,0,0,5
719,BOS,1,25,0,1,0,0,19.2,59,83,17,4,4,0,21,11,1,0,0,0,0,0,0,0,0,0,5
720,TOR,1,1,0,1,0,0,3,9,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
721,SDP,1,31,0,1,1,0,28,84,129,23,14,14,5,36,20,2,2,0,0,1,0,0,0,0,0,5
721,CHC,2,2,0,0,0,0,0.1,1,6,4,5,5,3,0,1,0,0,0,0,0,0,0,0,0,0,5
722,KCR,1,32,32,8,16,0,185.1,556,800,202,127,118,27,144,61,3,13,2,1,8,0,0,0,0,0,5
723,TEX,1,29,27,12,7,0,175.1,526,730,162,100,91,32,145,52,0,3,0,0,1,0,0,0,0,0,5
724,KCR,1,67,0,7,4,16,67,201,289,58,22,22,2,91,34,7,0,0,0,3,1,0,0,0,0,5
725,CIN,1,28,0,1,0,1,30.2,92,123,17,7,7,2,31,13,1,0,0,0,0,0,0,0,0,0,5
726,PHI,1,32,0,2,0,0,31.1,94,125,21,8,4,1,40,14,1,1,0,0,1,0,0,0,0,0,5
727,KCR,1,9,0,0,0,0,9.1,28,42,11,3,3,2,6,5,0,1,0,0,0,0,0,0,0,0,5
728,TBR,1,55,0,1,0,0,50.1,151,203,39,17,17,7,42,22,2,4,0,0,1,0,0,0,0,0,5
729,ARI,1,9,9,3,2,0,45.1,136,202,62,37,37,9,37,12,0,0,0,0,2,0,0,0,0,0,5
730,ATL,1,28,28,16,7,0,179,537,749,168,77,72,12,102,48,2,9,1,1,3,0,0,0,0,0,5
731,CLE,1,6,4,3,1,0,26.2,80,114,30,14,10,5,19,5,0,1,0,0,0,0,0,0,0,0,5
732,PIT,1,66,0,2,2,2,75.2,227,316,65,30,24,7,50,22,4,5,0,0,5,0,0,0,0,0,5
733,NYY,1,32,32,16,13,0,191.1,574,815,196,101,90,35,165,46,0,6,1,0,3,0,0,0,0,0,5
734,CHW,1,26,16,5,5,0,102,306,462,113,74,73,23,85,44,1,4,1,1,9,0,0,0,0,0,5
735,BAL,1,33,20,7,8,0,133.2,401,573,161,85,81,32,77,27,2,4,0,0,0,1,0,0,0,0,5
736,TOR,1,11,11,5,3,0,58.2,176,257,59,31,30,8,49,20,0,5,0,0,1,0,0,0,0,0,5
737,TOR,1,2,0,0,0,0,1,3,10,5,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,5
737,NYY,2,2,0,0,0,0,3,9,16,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,5
738,LAA,1,50,0,3,2,0,45.2,137,198,44,22,21,7,31,19,3,0,0,0,3,0,0,0,0,0,5
739,SEA,1,30,16,9,5,2,125.1,376,519,117,49,44,17,101,43,3,3,0,0,5,0,0,0,0,0,5
740,WSN,1,31,31,10,11,0,189.2,569,790,173,90,85,23,168,58,5,2,1,0,3,0,0,0,0,0,5
741,LAD,1,65,0,5,3,25,65,195,252,33,18,17,6,99,22,1,3,0,0,3,0,0,0,0,0,5
742,TOR,1,62,0,1,1,22,63.2,191,242,44,18,18,7,67,11,1,3,0,0,2,1,0,0,0,0,5
743,KCR,1,13,0,0,0,0,13.1,40,73,19,14,10,0,13,13,0,0,0,0,1,0,0,0,0,0,5
744,TOR,1,13,3,1,3,0,32,96,136,32,16,16,5,16,11,1,1,0,0,0,0,0,0,0,0,5
745,MIA,1,22,0,1,0,0,19,57,86,18,5,4,2,8,11,1,2,0,0,0,0,0,0,0,0,5
746,LAA,1,49,0,3,2,2,44.2,134,178,39,17,15,3,38,12,1,2,0,0,1,0,0,0,0,0,5
747,CLE,1,31,31,9,17,0,176.2,530,805,190,116,106,25,143,95,3,8,0,0,16,1,0,0,0,0,5
748,BAL,1,71,0,2,1,51,68.2,206,269,55,21,19,3,41,15,1,3,0,0,1,0,0,0,0,0,5
749,MIA,1,31,31,8,14,0,191.1,574,798,180,84,81,14,165,65,7,4,0,0,5,0,0,0,0,0,5
750,NYM,1,1,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
751,BAL,1,12,4,4,0,0,38.1,115,151,23,9,9,4,46,18,1,0,0,0,1,0,0,0,0,0,5
752,CHW,1,65,0,8,0,0,71.2,215,301,67,19,19,4,65,32,3,1,0,0,5,0,0,0,0,0,5
753,ATL,1,11,10,3,4,0,48.1,145,227,72,40,37,8,19,18,0,1,0,0,1,0,0,0,0,0,5
754,PIT,1,19,15,5,4,0,90.2,272,372,89,41,40,8,66,15,0,1,0,0,3,1,0,0,0,0,5
755,SEA,1,47,0,2,4,0,44.1,133,190,43,20,16,5,45,15,6,0,0,0,2,1,0,0,0,0,5
756,SDP,1,6,6,2,3,0,29,87,136,39,23,20,5,26,10,1,2,0,0,0,0,0,0,0,0,5
757,STL,1,24,16,5,7,0,107,321,457,112,50,42,10,75,36,2,3,0,0,4,0,0,0,0,0,5
758,PHI,1,37,25,11,12,0,159.1,478,674,154,76,69,20,116,49,4,7,1,1,1,0,0,0,0,0,5
759,ARI,1,33,33,15,12,0,208.1,625,899,216,101,93,28,187,55,4,14,1,0,5,4,0,0,0,0,5
760,LAD,1,33,33,14,9,0,227.2,683,901,170,70,64,16,229,63,5,5,2,2,6,2,0,0,0,0,5
761,HOU,1,16,16,3,8,0,85.1,256,377,93,56,50,14,38,39,1,1,1,0,2,0,0,0,0,0,5
762,ATL,1,63,0,3,1,42,62.2,188,231,27,7,7,3,116,14,0,2,0,0,5,0,0,0,0,0,5
763,SEA,1,35,0,0,3,1,32,96,136,24,14,14,3,36,15,3,3,0,0,2,0,0,0,0,0,5
764,MIL,1,14,0,3,0,0,16.2,50,72,18,7,7,1,14,7,1,0,0,0,1,0,0,0,0,0,5
765,TEX,1,28,0,1,2,0,35.1,106,151,24,16,15,5,38,17,1,1,0,0,2,0,0,0,0,0,5
766,CLE,1,12,12,2,5,0,63,189,281,76,44,36,9,54,18,0,4,0,0,2,0,0,0,0,0,5
767,MIA,1,8,1,0,1,0,13.1,40,56,15,8,8,4,13,2,1,0,0,0,0,0,0,0,0,0,5
768,SFG,1,44,0,2,1,0,43.2,131,177,34,15,12,3,44,12,0,0,0,0,1,0,0,0,0,0,5
769,TOR,1,1,0,0,0,0,1,3,5,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5
770,NYY,1,33,33,16,11,0,219.2,659,891,205,86,81,25,167,51,2,8,3,2,13,0,0,0,0,0,5
771,TOR,1,22,16,4,6,0,100.2,302,429,100,56,51,17,48,37,1,5,0,0,2,0,0,0,0,0,5
772,WSN,1,6,6,4,1,0,32.2,98,144,33,15,15,0,17,14,1,4,0,0,1,0,0,0,0,0,5
773,CIN,1,33,33,14,4,0,209.1,628,858,179,87,81,25,185,64,9,4,2,0,3,1,0,0,0,0,5
774,SDP,1,26,0,2,0,2,16.2,50,68,9,6,6,0,25,3,0,3,0,0,0,0,0,0,0,0,5
775,SEA,1,46,0,0,5,9,44.2,134,193,48,20,18,1,27,19,3,0,0,0,3,0,0,0,0,0,5
775,LAD,2,28,0,2,1,6,27.1,82,108,17,7,7,0,27,14,4,1,0,0,1,0,0,0,0,0,5
776,CIN,1,30,30,8,9,0,179,537,757,201,97,91,26,116,41,3,3,2,0,3,0,0,0,0,0,5
777,MIA,1,25,9,2,5,0,68.2,206,284,71,30,28,7,43,19,1,1,0,0,1,0,0,0,0,0,5
778,CIN,1,48,0,3,3,0,57.1,172,237,46,22,20,3,61,23,2,1,0,0,2,0,0,0,0,0,5
779,PHI,1,30,30,6,9,0,211,633,847,207,79,74,26,207,28,0,0,0,0,4,0,0,0,0,0,5
780,PIT,1,10,0,0,0,0,11.1,34,48,11,9,7,1,12,2,0,1,0,0,1,0,0,0,0,0,5
781,BOS,1,33,33,9,14,0,205.1,616,876,216,117,110,25,166,68,2,4,3,0,6,0,0,0,0,0,5
782,TEX,1,16,16,6,6,0,105,315,427,99,48,40,16,93,14,0,6,2,0,2,0,0,0,0,0,5
783,WSN,1,11,0,0,1,2,9.1,28,51,12,10,10,1,10,11,5,0,0,0,0,0,0,0,0,0,5
784,LAD,1,8,8,5,1,0,48.2,146,202,36,23,17,3,31,19,1,2,0,0,3,0,0,0,0,0,5
785,SFG,1,33,33,10,15,0,186,558,825,183,111,107,23,190,90,3,4,0,0,17,2,0,0,0,0,5
786,PIT,1,28,5,4,2,1,59.1,178,239,51,19,18,8,60,14,1,1,0,0,0,0,0,0,0,0,5
786,TOR,2,24,0,1,0,0,28.2,86,123,29,18,18,6,28,10,1,0,0,0,1,0,0,0,0,0,5
787,LAD,1,48,0,2,2,0,47.2,143,197,42,16,16,9,43,18,0,3,0,0,1,0,0,0,0,0,5
787,PHI,2,26,0,1,3,1,23.1,70,107,19,15,12,4,27,17,2,1,0,0,1,0,0,0,0,0,5
788,BAL,1,34,0,1,0,0,36.1,109,155,35,14,11,2,30,12,2,4,0,0,1,1,0,0,0,0,5
788,ARI,2,12,0,0,0,0,10.2,32,45,10,3,3,0,10,2,0,1,0,0,0,0,0,0,0,0,5
789,MIN,1,22,17,3,10,0,100,300,440,89,63,59,12,109,55,4,4,0,0,6,1,0,0,0,0,5
789,CHW,2,12,11,3,2,0,56.2,170,253,54,34,34,7,58,32,1,3,0,0,5,0,0,0,0,0,5
790,PIT,1,8,6,1,3,0,34.1,103,148,36,21,21,6,34,11,0,1,0,0,0,0,0,0,0,0,5
791,MIL,1,70,0,6,5,2,68.1,205,303,78,41,35,9,55,20,3,3,0,0,4,0,0,0,0,0,5
792,NYY,1,80,0,7,2,1,55.1,166,239,48,23,23,6,68,28,6,2,0,0,3,0,0,0,0,0,5
793,STL,1,33,33,16,3,0,211,633,864,192,74,67,19,143,38,1,4,0,0,1,0,0,0,0,0,5
794,SFG,1,70,0,3,0,7,36,108,153,37,13,10,1,28,14,3,0,0,0,2,0,0,0,0,0,5
795,CHC,1,4,0,0,1,0,6.1,19,34,8,6,4,0,2,5,0,1,0,0,0,0,0,0,0,0,5
796,HOU,1,64,0,6,3,10,66.1,199,260,61,18,16,4,54,8,2,2,0,0,1,0,0,0,0,0,5
797,TOR,1,33,0,0,2,0,30.2,92,117,26,10,9,0,21,2,0,0,0,0,1,1,0,0,0,0,5
798,SFG,1,19,0,1,0,0,25.1,76,112,32,15,14,3,9,9,1,0,0,0,1,0,0,0,0,0,5
799,CLE,1,21,21,8,10,0,119,357,542,156,79,73,8,41,45,3,3,1,1,5,1,0,0,0,0,5
799,NYY,2,17,0,1,1,1,23.2,71,98,24,9,8,2,14,6,2,0,0,0,2,0,0,0,0,0,5
800,TEX,1,36,0,0,2,0,39.1,118,162,35,15,15,5,28,13,0,0,0,0,4,2,0,0,0,0,5
801,SDP,1,5,5,3,1,0,31,93,130,28,10,9,1,23,8,0,0,0,0,0,0,0,0,0,0,5
802,TBR,1,3,0,0,0,0,3.1,10,21,9,7,7,0,2,3,0,0,0,0,0,0,0,0,0,0,5
803,SEA,1,63,0,2,2,2,40.2,122,178,37,20,18,3,38,24,6,1,0,0,5,0,0,0,0,0,5
804,HOU,1,25,25,5,12,0,141.1,424,628,159,97,80,20,99,42,4,5,1,1,2,0,0,0,0,0,5
805,STL,1,35,29,18,7,0,176,528,744,168,76,74,16,180,64,3,10,0,0,3,0,0,0,0,0,5
806,HOU,1,37,0,0,2,0,36,108,154,37,13,13,3,35,11,2,2,0,0,5,0,0,0,0,0,5
806,TOR,2,30,0,4,0,1,25,75,104,19,8,8,2,28,9,1,1,0,0,1,0,0,0,0,0,5
807,LAD,1,7,0,0,0,0,5.2,17,32,9,5,5,0,4,6,0,0,0,0,0,0,0,0,0,0,5
808,SFG,1,8,0,0,0,0,6.2,20,28,7,5,5,2,4,1,0,0,0,0,0,0,0,0,0,0,5
809,CHC,1,21,20,9,6,0,120.1,361,503,115,51,50,12,81,34,2,10,0,0,4,0,0,0,0,0,5
809,ATL,2,11,11,4,5,0,68.2,206,283,63,29,27,8,59,19,1,1,1,1,1,0,0,0,0,0,5
810,KCR,1,1,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
811,CHC,1,21,0,1,1,0,20.2,62,94,17,11,11,2,26,12,0,4,0,0,2,0,0,0,0,0,5
811,CLE,2,9,0,1,2,0,6,18,33,13,7,7,1,6,3,0,1,0,0,1,0,0,0,0,0,5
812,MIN,1,9,0,1,0,0,11,33,52,17,10,10,2,5,1,0,1,0,0,0,0,0,0,0,0,5
813,MIN,1,12,0,0,0,0,21.2,65,98,29,19,19,4,12,7,1,1,0,0,0,0,0,0,0,0,5
814,MIL,1,21,21,7,4,0,124,372,527,116,57,51,16,109,41,2,4,0,0,3,2,0,0,0,0,5
815,CHW,1,2,0,0,0,0,2.2,8,11,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,5
816,CHC,1,61,0,3,3,20,55.1,166,247,40,24,21,4,72,45,0,2,0,0,2,0,0,0,0,0,5
817,LAA,1,12,0,0,0,0,6,18,27,6,1,1,0,7,3,0,0,0,0,0,0,0,0,0,0,5
818,MIN,1,7,7,2,4,0,34,102,160,52,33,32,9,12,14,0,3,0,0,1,0,0,0,0,0,5
818,SDP,2,15,15,6,7,0,93.2,281,401,94,53,42,14,79,28,3,1,1,1,5,0,0,0,0,0,5
819,CIN,1,73,0,5,5,9,61,183,256,55,18,17,3,74,16,2,3,0,0,1,1,0,0,0,0,5
820,DET,1,13,0,1,0,0,22.1,67,93,19,7,7,4,19,9,0,1,0,0,1,0,0,0,0,0,5
821,STL,1,48,0,3,2,0,40.1,121,185,51,22,22,6,36,14,2,2,0,0,1,0,0,0,0,0,5
822,ATL,1,54,0,5,4,1,73.2,221,313,80,33,32,6,65,19,4,0,0,0,2,1,0,0,0,0,5
823,ARI,1,1,0,0,0,0,1,3,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5
824,CLE,1,34,34,11,15,0,206.1,619,906,212,122,113,18,159,88,1,13,1,0,14,0,0,0,0,0,5
825,CHC,1,1,0,0,0,0,0.1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
826,TOR,1,2,0,0,0,0,2,6,11,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5
827,BOS,1,11,11,1,7,0,45.2,137,215,58,43,42,11,41,20,0,3,0,0,3,0,0,0,0,0,5
828,WSN,1,66,0,5,3,0,66.1,199,265,57,22,21,8,41,19,5,3,0,0,3,0,0,0,0,0,5
829,BAL,1,34,16,6,10,0,98,294,441,112,61,53,15,81,41,4,0,0,0,0,0,0,0,0,0,5
830,KCR,1,18,6,4,3,0,44,132,198,55,29,28,3,26,19,2,3,0,0,1,0,0,0,0,0,5
831,CLE,1,22,22,6,8,0,125.1,376,543,133,78,59,19,110,38,0,1,0,0,0,2,0,0,0,0,5
832,OAK,1,18,18,8,6,0,111,333,469,115,44,40,10,73,24,2,6,0,0,0,0,0,0,0,0,5
833,STL,1,16,0,0,1,0,18.2,56,83,16,11,11,2,11,9,0,2,0,0,1,0,0,0,0,0,5
834,MIL,1,9,0,0,0,0,14,42,69,20,11,10,1,4,5,0,3,0,0,1,0,0,0,0,0,5
835,BOS,1,1,0,0,1,0,1,3,6,2,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,5
836,PIT,1,30,29,12,8,0,171,513,713,147,85,80,21,151,69,6,4,1,0,3,0,0,0,0,0,5
837,TBR,1,69,0,5,2,0,55.1,166,212,33,13,12,3,73,11,4,1,0,0,3,0,0,0,0,0,5
838,NYM,1,8,4,0,4,0,21.1,64,99,27,21,18,5,17,8,2,2,0,0,0,0,0,0,0,0,5
839,PIT,1,10,3,0,2,0,26.1,79,107,24,8,8,3,21,7,0,2,0,0,0,1,0,0,0,0,5
840,ATL,1,50,12,10,1,1,138,414,520,103,26,24,6,120,23,0,0,2,1,3,0,0,0,0,0,5
841,PIT,1,12,0,0,0,0,12,36,57,14,9,9,1,8,6,0,1,0,0,1,0,0,0,0,0,5
842,NYM,1,5,3,1,2,0,16,48,74,20,10,10,2,8,9,0,0,0,0,1,0,0,0,0,0,5
843,BOS,1,41,0,0,2,1,45,135,194,45,31,31,8,41,12,1,3,0,0,2,0,0,0,0,0,5
844,KCR,1,30,25,8,10,0,166,498,709,176,84,78,15,104,59,3,11,0,0,6,2,0,0,0,0,5
845,KCR,1,51,0,2,2,0,38.2,116,168,36,13,11,3,37,13,1,4,0,0,1,0,0,0,0,0,5
845,SFG,2,27,0,1,0,0,17.2,53,74,14,5,5,0,20,8,2,0,0,0,2,0,0,0,0,0,5
846,SDP,1,25,0,2,1,0,32.1,97,144,32,15,13,4,23,15,0,2,0,0,2,0,0,0,0,0,5
847,ARI,1,32,29,16,11,0,194.2,584,807,193,79,72,14,144,37,0,2,0,0,6,1,0,0,0,0,5
848,BOS,1,53,0,3,2,0,40.1,121,169,28,15,15,3,51,20,1,2,0,0,1,0,0,0,0,0,5
849,OAK,1,33,0,2,1,0,48.2,146,211,39,15,14,6,44,27,2,3,0,0,1,0,0,0,0,0,5
850,STL,1,6,1,1,0,0,13.2,41,54,9,2,2,0,16,4,0,1,0,0,0,0,0,0,0,0,5
851,LAA,1,1,1,1,0,0,5,15,18,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5
852,SEA,1,28,28,6,12,0,161,483,689,168,86,76,13,107,56,3,3,1,1,5,0,0,0,0,0,5
853,OAK,1,31,31,13,10,0,190,570,791,207,90,79,24,137,36,2,4,1,0,2,0,0,0,0,0,5
854,ATL,1,30,30,11,10,0,179.1,538,728,151,88,82,26,145,56,7,5,0,0,3,0,0,0,0,0,5
855,NYY,1,4,0,0,0,0,4.2,14,24,7,2,2,1,2,3,0,0,0,0,1,0,0,0,0,0,5
856,TBR,1,31,31,11,11,0,177.1,532,759,158,85,75,18,175,81,5,7,0,0,8,1,0,0,0,0,5
857,BOS,1,37,9,3,4,1,76.1,229,325,64,38,32,11,76,30,3,6,0,0,3,5,0,0,0,0,5
858,PIT,1,5,0,0,0,0,5,15,20,2,2,1,0,6,2,0,1,0,0,1,0,0,0,0,0,5
859,TOR,1,21,21,10,7,0,124.2,374,504,98,45,41,12,108,41,0,2,3,3,3,0,0,0,0,0,5
860,BOS,1,26,0,1,1,0,42,126,173,32,15,15,7,41,19,2,1,0,0,3,0,0,0,0,0,5
861,PIT,1,9,9,2,6,0,50.1,151,223,62,30,26,5,25,11,1,2,0,0,4,0,0,0,0,0,5
862,COL,1,23,3,3,2,0,50,150,231,67,34,34,8,47,19,0,1,0,0,5,0,0,0,0,0,5
863,SDP,1,1,1,0,0,0,5,15,22,5,5,5,1,4,2,0,0,0,0,0,0,0,0,0,0,5
