"season_order","gp","gs","w","l","sv","bs","hld","outs","tbf","h","r","er","hr","k","bb","ibb","hbp","cg","sho","wp","bk","era","whip","k_percent","bb_percent","babip","player_id"
493,MIA,1,73,0,4,5,19,63.2,191,286,70,38,36,5,59,29,3,2,0,0,2,0,0,0,0,0,5
494,DET,1,27,1,2,1,0,46.1,139,189,49,25,20,6,29,8,0,1,0,0,1,1,0,0,0,0,5
495,DET,1,73,0,5,3,2,71,213,288,59,31,29,14,84,22,2,1,0,0,2,0,0,0,0,0,5
496,ARI,1,19,0,2,1,0,29.2,89,121,29,14,12,2,18,7,0,1,0,0,2,0,0,0,0,0,5
497,BAL,1,1,0,0,0,0,1,3,10,6,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,5
497,CHC,2,4,4,0,3,0,18.2,56,85,23,14,10,3,11,6,0,1,0,0,1,0,0,0,0,0,5
498,COL,1,60,0,1,4,31,57.2,173,236,53,19,18,6,57,12,4,0,0,0,0,1,0,0,0,0,5
499,LAD,1,25,25,10,9,0,149.2,449,634,148,66,59,11,128,45,2,5,0,0,5,0,0,0,0,0,5
500,MIN,1,19,19,4,9,0,98.2,296,456,143,81,81,23,42,26,0,1,0,0,2,0,0,0,0,0,5
501,SFG,1,4,0,0,0,0,5,15,25,7,6,5,0,2,2,0,0,0,0,1,0,0,0,0,0,5
501,OAK,2,24,15,6,4,0,102.2,308,419,91,47,44,10,69,30,1,3,0,0,6,3,0,0,0,0,5
502,PHI,1,21,20,8,9,0,133.1,400,560,141,74,68,22,115,18,2,3,2,1,4,0,0,0,0,0,5
502,LAD,2,10,10,2,4,0,57.2,173,246,66,32,32,7,51,16,3,0,0,0,1,0,0,0,0,0,5
503,OAK,1,63,0,5,1,1,65.1,196,261,45,20,18,7,54,25,5,5,0,0,2,0,0,0,0,0,5
504,STL,1,78,0,4,1,0,73.1,220,296,56,20,18,5,58,21,3,4,0,0,0,0,0,0,0,0,5
505,HOU,1,1,0,0,0,0,1,3,7,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5
506,BOS,1,2,0,0,0,0,3,9,11,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,5
506,CHC,2,30,0,0,0,0,36.2,110,154,30,12,12,4,29,16,1,1,0,0,1,0,0,0,0,0,5
507,SDP,1,24,0,0,0,0,27.2,83,120,22,12,8,3,33,18,1,2,0,0,0,0,0,0,0,0,5
508,SDP,1,67,0,2,4,0,66.2,200,280,50,28,28,11,75,33,7,2,0,0,4,0,0,0,0,0,5
509,CIN,1,14,0,0,0,0,8.2,26,43,6,5,5,2,7,14,0,0,0,0,0,0,0,0,0,0,5
510,ARI,1,40,0,2,0,0,43.1,130,180,38,15,13,5,42,13,0,1,0,0,1,0,0,0,0,0,5
510,BOS,2,23,0,1,0,0,20,60,81,14,7,6,0,19,9,2,1,0,0,1,0,0,0,0,0,5
511,BAL,1,12,11,5,3,0,60.1,181,270,61,37,34,6,53,32,3,2,0,0,4,0,0,0,0,0,5
512,COL,1,75,0,8,2,0,67.2,203,295,63,33,29,5,83,37,7,1,0,0,5,1,0,0,0,0,5
513,STL,1,22,0,1,3,0,19.1,58,84,18,11,11,2,11,7,0,0,0,0,1,1,0,0,0,0,5
514,KCR,1,35,0,1,2,23,35.2,107,151,36,11,9,1,25,14,0,2,0,0,0,0,0,0,0,0,5
514,CIN,2,25,0,3,3,4,22.1,67,87,20,7,7,1,20,3,0,1,0,0,0,0,0,0,0,0,5
515,PHI,1,1,0,0,0,0,0.2,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
516,CHW,1,1,0,1,0,0,1,3,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5
517,BOS,1,29,29,11,8,0,189.1,568,802,187,104,96,25,129,64,2,12,2,1,2,2,0,0,0,0,5
518,MIA,1,31,31,13,13,0,202.1,607,828,197,88,84,26,125,40,3,4,1,0,2,0,0,0,0,0,5
519,KCR,1,18,0,1,1,0,17.1,52,69,16,4,3,0,7,2,1,1,0,0,0,0,0,0,0,0,5
520,SFG,1,32,32,16,11,0,208.1,625,849,183,87,78,23,191,49,6,7,2,1,3,2,0,0,0,0,5
521,BAL,1,2,0,0,0,0,1.2,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
